wall_time,trial_time,frame,sequence_nr,type,start_stop
1499674790.9584029,270.109575,4948.0,1.0,UL,True
1499674791.2526884,270.40386,4953.0,1.0,UL,False
1499674800.0654655,279.216637,5098.0,1.0,LR,True
1499674801.182103,280.333275,5116.0,1.0,LR,False
1499674811.2577019,290.408874,5282.0,1.0,UL,True
1499674811.6423125,290.793484,5288.0,1.0,UL,False
1499674824.033998,303.18517,5492.0,1.0,TR,False
1499675411.8401964,0.0,5767.0,2.0,TR,True
1499675411.9830453,0.142849,5769.0,2.0,LR,True
1499675412.9864087,1.146212,5783.0,2.0,LR,False
1499675428.7457044,16.905507999999998,6005.0,2.0,LR,True
1499675429.7816734,17.941477,6020.0,2.0,LR,False
1499675433.150273,21.310077,6067.0,2.0,LR,True
1499675434.9862342,23.146038,6093.0,2.0,LR,False
1499675440.0142696,28.174072999999996,6164.0,2.0,UL,True
1499675442.9421165,31.10192,6205.0,2.0,UL,False
1499675444.25829,32.418094,6224.0,2.0,UL,True
1499675448.8939226,37.053726,6289.0,2.0,UL,False
1499675449.384718,37.544522,6296.0,2.0,UL,True
1499675449.7285578,37.888360999999996,6301.0,2.0,UL,False
1499675450.4460726,38.605876,6311.0,2.0,UL,True
1499675450.932302,39.092106,6318.0,2.0,UL,False
1499675452.2745626,40.434366,6337.0,2.0,UL,True
1499675468.8105824,56.970386,6570.0,2.0,UL,False
1499675468.86744,57.027243000000006,6571.0,2.0,UL,True
1499675469.009622,57.169425,6573.0,2.0,UL,False
1499675469.8570955,58.016899,6585.0,2.0,UL,True
1499675499.2967706,87.456574,7000.0,2.0,UL,False
1499675500.3180525,88.477856,7014.0,2.0,UL,True
1499675500.8622758,89.022079,7022.0,2.0,UL,False
1499675504.5899405,92.74974399999999,7074.0,2.0,UL,True
1499675505.465252,93.625055,7087.0,2.0,UL,False
1499675508.099979,96.259783,7124.0,2.0,UL,True
1499675508.5962038,96.75550600000001,7131.0,2.0,UL,False
1499675511.3902755,99.550079,7170.0,2.0,LR,True
1499675514.4130552,102.572859,7213.0,2.0,LR,False
1499675514.7091265,102.86893,7217.0,2.0,LR,True
1499675557.9343078,146.09361299999998,7825.0,2.0,LR,False
1499675574.6241775,162.783981,8061.0,2.0,UL,True
1499675575.7792075,163.93901100000002,8077.0,2.0,UL,False
1499675576.334501,164.494305,8085.0,2.0,UL,True
1499675596.770559,184.930363,8373.0,2.0,UL,False
1499675597.7011476,185.860951,8386.0,2.0,UL,True
1499675598.1260033,186.285807,8392.0,2.0,UL,False
1499675598.6836078,186.843411,8400.0,2.0,UL,True
1499675628.750057,216.90986099999998,8824.0,2.0,UL,False
1499675629.8221936,217.981997,8839.0,2.0,UL,True
1499675630.107915,218.26771800000003,8843.0,2.0,UL,False
1499675649.5243685,237.68417200000002,9117.0,2.0,UL,True
1499675652.1742115,240.333514,9153.0,2.0,UL,False
1499675696.9231505,285.08295400000003,9784.0,2.0,LR,True
1499675697.0051382,285.164941,9785.0,2.0,LR,False
1499675697.0573392,285.216638,9786.0,2.0,LR,True
1499675712.3123114,300.472115,10000.0,2.0,LR,False
1499675713.4554927,301.615296,10016.0,2.0,TR,False
1499676228.8519886,0.0,10163.0,3.0,TR,True
1499676233.458684,4.606696,10220.0,3.0,UL,True
1499676235.0122962,6.160308000000001,10239.0,3.0,UL,False
1499676238.0462575,9.194269,10276.0,3.0,UL,True
