wall_time,trial_time,frame,sequence_nr,type,start_stop
1502107923.3422608,31.095004,46722.0,233.0,UL,True
1502107923.4932606,31.246003,46723.0,233.0,UL,False
1502107925.5562599,33.309002,46744.0,233.0,UL,True
1502107927.5222626,35.275005,46763.0,233.0,UL,False
1502107929.7862597,37.539002,46786.0,233.0,UL,True
1502107929.8992643,37.652007,46787.0,233.0,UL,False
1502107930.8112586,38.564001,46796.0,233.0,UL,True
1502107931.4792616,39.232004,46802.0,233.0,UL,False
1502107935.59426,43.347002,46843.0,233.0,LL,True
1502107936.3802595,44.13300200000001,46851.0,233.0,LL,False
1502107939.0192592,46.772002,46874.0,233.0,LL,True
1502107939.3232641,47.076006,46877.0,233.0,LL,False
1502107939.7682633,47.521006,46881.0,233.0,LL,True
1502107943.5782626,51.331005,46918.0,233.0,LL,False
1502107943.5882638,51.341006,46918.0,233.0,LL,True
1502107943.7162633,51.469006,46919.0,233.0,LL,False
1502107946.5682638,54.321006,46947.0,233.0,LL,True
1502107949.6602616,57.413004,46978.0,233.0,LL,False
1502108174.225277,281.97802,49178.0,233.0,LL,True
1502108174.794281,282.547024,49184.0,233.0,LL,False
1502108194.3472831,302.100025,49374.0,233.0,TR,False
1502177969.2890038,0.0,154.0,234.0,TR,True
1502177974.9530056,5.664001,214.0,234.0,LL,True
1502177976.2170072,6.9280029999999995,228.0,234.0,LL,False
1502177986.8090124,17.520007999999997,342.0,234.0,LR,True
1502177987.2560055,17.967001,347.0,234.0,LR,False
1502177987.7850056,18.495001000000002,352.0,234.0,LR,True
1502177988.0810046,18.792,356.0,234.0,LR,False
1502178000.2070074,30.918003000000002,483.0,234.0,LR,True
1502178004.1130106,34.824006,525.0,234.0,LR,False
1502178006.0400064,36.751002,546.0,234.0,LL,True
1502178009.7840073,40.495003000000004,587.0,234.0,LL,False
1502178012.5610065,43.272002,616.0,234.0,LL,True
1502178013.0650113,43.776007,622.0,234.0,LL,False
1502178018.0720134,48.783009,677.0,234.0,LR,True
1502178020.5150087,51.225004999999996,703.0,234.0,LR,False
1502178025.1050105,55.81600600000001,754.0,234.0,LR,True
1502178027.0890086,57.800004,774.0,234.0,LR,False
1502178057.088015,87.799011,1100.0,234.0,LL,True
1502178057.79301,88.504006,1107.0,234.0,LL,False
1502178058.2960112,89.007007,1113.0,234.0,LL,True
1502178059.5760114,90.28700699999999,1126.0,234.0,LL,False
1502178065.2680125,95.979008,1187.0,234.0,LL,True
1502178089.8420134,120.553009,1450.0,234.0,LL,False
1502178090.2170134,120.928009,1455.0,234.0,LL,True
1502178091.4070168,122.11801200000001,1468.0,234.0,LL,False
1502178093.6850152,124.39601100000002,1493.0,234.0,LL,True
1502178093.7770126,124.48800800000001,1494.0,234.0,LL,False
1502178103.8100152,134.52101100000002,1601.0,234.0,LL,True
1502178120.7690165,151.48001200000002,1770.0,234.0,LL,False
1502178122.137022,152.848017,1785.0,234.0,LR,True
1502178124.2400188,154.95101499999998,1807.0,234.0,LR,False
1502178124.3120165,155.02301200000002,1808.0,234.0,LR,True
1502178124.5460165,155.257012,1810.0,234.0,LR,False
1502178124.5930202,155.304016,1811.0,234.0,LR,True
1502178124.7780154,155.48801,1813.0,234.0,LR,False
1502178129.649017,160.36001299999998,1865.0,234.0,LR,True
1502178131.1610148,161.87201000000002,1882.0,234.0,LR,False
1502178136.8090186,167.520014,1944.0,234.0,LL,True
1502178137.3670175,168.077013,1948.0,234.0,LL,False
1502178159.4090192,190.120015,2182.0,234.0,LR,True
1502178159.8000233,190.511019,2187.0,234.0,LR,False
1502178270.8720315,301.583027,3352.0,234.0,TR,False
1502178856.2970212,0.0,3514.0,235.0,TR,True
1502178875.8220243,19.525004,3701.0,235.0,LL,True
1502178876.8010235,20.504003,3711.0,235.0,LL,False
1502178876.971024,20.674004,3713.0,235.0,LL,True
1502178877.3920262,21.095006,3715.0,235.0,LL,False
1502178878.3480241,22.051003,3725.0,235.0,LL,True
1502178879.8100245,23.513004000000002,3740.0,235.0,LL,False
1502178886.952029,30.654013,3810.0,235.0,LR,True
1502178915.0660262,58.769006000000005,4087.0,235.0,LR,False
1502178918.2650278,61.96800699999999,4118.0,235.0,LR,True
1502178921.6820269,65.385006,4149.0,235.0,LR,False
1502178922.3610284,66.064008,4155.0,235.0,LR,True
1502178922.5460322,66.249012,4157.0,235.0,LR,False
1502178933.0010278,76.704008,4258.0,235.0,LR,True
1502178934.7900288,78.49300799999999,4275.0,235.0,LR,False
1502178935.7380285,79.441008,4285.0,235.0,LR,True
1502178936.7460294,80.449009,4295.0,235.0,LR,False
1502178952.6660302,96.36901,4451.0,235.0,LL,True
1502178952.7610335,96.464013,4452.0,235.0,LL,False
1502178952.7690313,96.472011,4452.0,235.0,LL,True
1502178954.9440289,98.647009,4473.0,235.0,LL,False
1502178956.4660301,100.16901,4488.0,235.0,LL,True
1502178989.435033,133.137013,4813.0,235.0,LL,False
1502179003.3210368,147.024016,4946.0,235.0,LL,True
1502179003.529034,147.232014,4948.0,235.0,LL,False
1502179042.6330366,186.336016,5332.0,235.0,LL,True
1502179045.8810375,189.584017,5364.0,235.0,LL,False
1502179052.9700408,196.67201799999998,5427.0,235.0,LR,True
1502179073.70104,217.40402000000003,5629.0,235.0,LR,False
1502179075.8670382,219.570018,5651.0,235.0,LR,True
1502179077.6830394,221.386019,5668.0,235.0,LR,False
1502179079.0590427,222.76202200000003,5682.0,235.0,LR,True
1502179079.0660393,222.769019,5682.0,235.0,LR,False
